CLUES|PAISNACIMIENTO|CURPPRESTADOR|NOMBREPRESTADOR|PRIMERAPELLIDOPRESTADOR|SEGUNDOAPELLIDOPRESTADOR|TIPOPERSONAL|PROGRAMASMYMG|CURPPACIENTE|NOMBRE|PRIMERAPELLIDO|SEGUNDOAPELLIDO|FECHANACIMIENTO|PAISNACPACIENTE|ENTIDADNACIMIENTO|SEXOCURP|SEXOBIOLOGICO|SEAUTODENOMINAAFROMEXICANO|SECONSIDERAINDIGENA|MIGRANTE|PAISPROCEDENCIA|GENERO|DERECHOHABIENCIA|FECHACONSULTA|SERVICIOATENCION|PESO|TALLA|CIRCUNFERENCIACINTURA|SISTOLICA|DIASTOLICA|FRECUENCIACARDIACA|FRECUENCIARESPIRATORIA|TEMPERATURA|SATURACIONOXIGENO|GLUCEMIA|TIPOMEDICION|RESULTADOOBTENIDOATRAVESDE|EMBARAZADASINDIABETES|SINTOMATICORESPIRATORIOTB|PRIMERAVEZANIO|PRIMERAVEZUNEME|RELACIONTEMPORAL|CODIGOCIEDIAGNOSTICO1|CONFIRMACIONDIAGNOSTICA1|PRIMERAVEZDIAGNOSTICO2|CODIGOCIEDIAGNOSTICO2|CONFIRMACIONDIAGNOSTICA2|PRIMERAVEZDIAGNOSTICO3|CODIGOCIEDIAGNOSTICO3|CONFIRMACIONDIAGNOSTICA3|INTERVENCIONESSMYA|ATENCIONPREGESTACIONALRT|RIESGO|RELACIONTEMPORALEMBARAZO|PLANSEGURIDAD|TRIMESTREGESTACIONAL|PRIMERAVEZALTORIESGO|COMPLICACIONPORDIABETES|COMPLICACIONPORINFURI|COMPLICACIONPORPREEECLA|COMPLICACIONPORHEMORRAGIA|SOSPECHACOVID19|COVID19CONFIRMADO|HIPERTENSIONARTPREXISTENTE|OTRASACCPRESCACIDOFOLICO|OTRASACCAPOYOTRANSLADO|OTRASACCAPOYOTRANSLADOAME|PUERPERA|INFECCIONPUERPERAL|TERAPIAHORMONAL|PERIPOSTMENOPAUSIA|ITS|PATOLOGIAMAMARIABENIGNA|CANCERMAMARIO|COLPOSCOPIA|CANCERCERVICOUTERINO|NINOSANORT|PRUEBAEDI|RESULTADOEDI|RESULTADOBATTELLE|EDASRT|EDASPLANTRATAMIENTO|RECUPERADODESHIDRATACION|NUMEROSOBRESVSOTRATAMIENTO|IRASRT|IRASPLANTRATAMIENTO|NEUMONIART|APLICACIONCEDULACANCER|INFORMAPREVENCIONACCIDENTES|SINTOMADEPRESIVA|ALTERACIONMEMORIA|AIVD_ABVD|SINDROMECAIDAS|INCONTINENCIAURINARIA|MOTRICIDAD|ASESORIANUTRICIONAL|NUMEROSOBRESVSOPROMOCION|LINEAVIDA|CARTILLASALUD|ESQUEMAVACUNACION|REFERIDOPOR|CONTRARREFERIDO|TELEMEDICINA|TELECONSULTA|ESTUDIOSTELECONSULTA|MODALIDADCONSULDIST
MCIMB005225|142|LOSD900505MOCPNN01|DANIELA|LOPEZ|SANCHEZ|1|1|PUVL670102HOCRSS01|LUIS FRANCISCO|PUERTAS|VASQUEZ|02/01/1967|142|20|1|1|0|1|3|142|5|14|01/10/2024|4|70.34|167|0|100|60|88|20|36|97|0|-1|-1|0|0|0|-1|0|R300|-1|-1||-1|-1||-1|1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1|-1|-1|-1|-1|-1|-1|-1|-1|-1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|0|0|0|0|-1|0|0|0|6|2
SLSME000016|11|SOXT870925MNESXR04|MA. TERESA|SOSA|XX|4|0|MAXG080915HNERXBC2|GABRIEL|MARTINEZ|XX|15/09/2008|182|88|1|1|3|2|-1|-1|1|8|03/10/2024|51|69.581|162|75|140|90|75|19|37.1|90|185|0|2|0|1|1|-1|0|CP13|1|0|CP48|0|0|F514|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|0|1|1|1|2|0|0|1|7|1
GRIMB005192|142|ROAA820129MGRDLL08|ALICIA|RODRIGUEZ|ALVAREZ|2|0|VXGA920313MGRRTB10|ABIGAIL|VARGAS|GUTIERREZ|13/03/1992|142|12|2|2|-1|1|1|142|0|0|01/10/2024|4|58.185|145|0|90|50|80|23|0|0|106|-1|1|0|-1|0|-1|1|R69X|-1|-1||-1|-1||-1|-1|0|4&2|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|0|-1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|0|0|0|0|-1|0|0|0|-1|-1
NTIMB001765|142|QUXF890212HDFRXR03|J. FRANCISCO|QUIRINO|XX|2|1|CALJ700507MNTNNS03|JOSEFA ANTONIA|CANCHOLA|LUNA|07/05/1970|142|18|2|2|0|0|0|-1|2|1|04/10/2024|4|55|144|85|100|70|82|20|37.5|0|0|-1|-1|0|-1|1|1|0|M545|-1|-1||-1|-1||-1|2|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|0|-1|-1|-1|0|-1|1|-1|-1|-1|-1|-1|-1|-1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|0|0|1|0|-1|0|0|0|-1|-1
MCIMB005522|174|SOGM720327MNESMN00|MONICA|SOSA|GOMEZ|2|0|AOCA520930MMCNVS05|MARIA ASUNCION|ANTON|COVADONGA|30/09/1952|142|15|2|2|1|0|-1|-1|3|6|05/10/2024|4|999|143|0|160|80|0|0|38.2|0|138|0|1|0|-1|0|-1|1|E119|-1|-1||-1|-1||-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|0|-1|-1|-1|-1|-1|1|2|1|-1|1|2|2|0|0|0|0|-1|1|0|0|3&2|2
MCIMB009010|142|GUBM800719HDFTNR03|MARIO|GUTIERREZ|BENITEZ|1|0|CESI700601HDFBLR06|IRINA|CEBRIAN|SILVA|01/06/1970|142|09|1|2|0|-1|0|-1|4|8|06/10/2024|4|79.5|999|99|120|80|71|16|36.1|92|120|1|1|0|-1|0|-1|1|E119|-1|-1||-1|-1||-1|3|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1|0|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|0|1|0|0|-1|0|0|0|-1|-1
NTIMB001193|142|AOGM851209HSLCTR09|MARTIN|ACOSTA|GUTIERREZ|2|0|SANJ221024HSLNXND3|JUAN ENRIQUE|SANTIAGO|NUÑEZ|24/10/2022|142|25|1|1|0|0|0|-1|1|2&8|07/10/2024|4|85|74|0|0|0|95|25|36.5|0|0|-1|-1|0|-1|1|-1|0|J029|-1|-1||-1|-1||-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|2|0|3|1|5|1|2|0|1|1|-1|-1|-1|-1|-1|-1|-1|0|1|1|1|3|0|1|0|-1|-1
QTSSA003451|68|XXXX999999XXXXXX99|JUANA|RUIZ|XX|10|0|MUBA041211MNERRSB7|M. ASUNCION|MURIEL|BARRIOS|11/12/2004|59|88|2|2|0|0|2|59|2|99|08/10/2024|9|65.5|165|0|90|60|70|19|36.8|0|0|-1|-1|0|1|0|-1|1|MT09|-1|0|MT01|-1|-1||-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|0|0|0|1|-1|0|0|0|-1|-1
VZIMB002856|142|JIFM880203HVZMRR07|MAURICIO|JIMENEZ|FERNANDEZ|2|0|COXD650118MVZBXN04|DIANA|COBOS|XX|18/01/1965|142|30|2|2|0|0|-1|-1|2|11|05/10/2024|4|73.4|153|0|110|60|80|20|36.5|99|0|-1|-1|0|0|0|-1|1|E119|-1|0|I10X|-1|-1||-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1|1|1|0|-1|0|0|0|-1|-1
JCSSA005386|142|RAGG790827MJCMNR05|GRACIELA|RAMIREZ|GONZALEZ|1|1|XXXX999999XXXXXX99|ANGUSTIAS|MARTINEZ|FARRE|19/07/1953|142|09|3|2|0|0|0|-1|2|3|05/10/2024|4|42|148|0|110|65|68|20|36.4|100|0|-1|-1|0|-1|0|-1|0|L600|-1|0|I10X|-1|-1||-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|2|1|1|0|-1|0|0|0|-1|-1
