CLUES|PAISNACIMIENTO|CURPPRESTADOR|NOMBREPRESTADOR|PRIMERAPELLIDOPRESTADOR|SEGUNDOAPELLIDOPRESTADOR|TIPOPERSONAL|PROGRAMASMYMG|CURPPACIENTE|NOMBRE|PRIMERAPELLIDO|SEGUNDOAPELLIDO|FECHANACIMIENTO|PAISNACPACIENTE|ENTIDADNACIMIENTO|SEXOCURP|SEXOBIOLOGICO|SEAUTODENOMINAAFROMEXICANO|SECONSIDERAINDIGENA|MIGRANTE|PAISPROCEDENCIA|GENERO|DERECHOHABIENCIA|FECHADETECCION|SERVICIOATENCION|PESO|TALLA|CIRCUNFERENCIACINTURA|SISTOLICA|DIASTOLICA|FRECUENCIACARDIACA|FRECUENCIARESPIRATORIA|TEMPERATURA|SATURACIONOXIGENO|GLUCEMIA|TIPOMEDICION|TIRASDETECCION|PRIMERAVEZANIO|DEPRESIONTAMIZAJE|DEPRESION|ANSIEDAD|HAOLVIDADOMASCOSAS|ALTERACIONESDEMEMORIA|DEMENCIA  |TAMIZAJEFUGADEORINA|INCONTINENCIAURIARIA|TAMIZAJECAIDAS|CAIDA60YMAS|MARCHA|ESTADONUTRICIONAL|ABVDTAMIZAJE|ABVDEVALUACION|AIVDTAMIZAJE|AIVDEVALUACION|EDADCUIDADOR|SEXOCUIDADOR|SOBRECARGACUIDADOR|RIESGOFRACTURA|DIABETESMELLITUS|HIPERTENSIONARTERIAL|OBESIDAD|DISLIPIDEMIAS|ALCOHOL|TABACO|CANNABIS|COCAINA|METANFETAMINAS|INHALABLES|OPIACEOS|ALUCINOGENOS|TRANQUILIZANTES|OTRASSUBSTANCIAS|B24X|A539|GONORREA|HEPATITISB|HERPESGENITAL|CHLAMYDIA|RESULTADOVPH|CANCERCERVICOUTERINO|RESULTADOCANCERCERVICOUTERINO|CANCERMAMA|VIOLENCIASEXUAL|VIOLENCIAMUJER15Y MÁS|SOSPECHASINDROMETURNER|HIPERPLASIAPROSTATICA|REACTIVOSANTIGENOPROSTATICO|SINTOMATICORESPIRATORIO|ESPIROMETRIAVEF1_CVF|LIN|ESPIROMETRIARESULTADO|CARTILLASALUD
DFIMB000026|30|XXXX999999XXXXXX99|MA. DIANA |LEON|CANTU|16|1|EALJ090422MOCSGSB1|MARIA JOSE/|ESTRADA-|LUGÜ|22/04/2009|142|20|2|2|0|3|-1|-1|1|2&3|11/10/2024|8|58.552|160|65|120|80|105|92|36.5|92|105|1|3|1|0|-1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|0|0|-1|-1|-1|-1|-1|-1|-1|0|7|-1|10|4|10|3|-1|-1|-1|-1|0|1|1|-1|0|-1|0|-1|-1|0
TSIMB002211|142|LETD940508MDFNRM08|DOMINIC|LEON|TERRON|22|1|CXGE791226HDFSLS02|ESTEBAN|COSTA|GALICIA|26/12/1979|142|09|1|1|3|3|0|-1|88|0|01/09/2024|60|68.522|160|75|120|95|0|0|36.8|89|98|0|1|1|1|1|1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1|0|0|0|1|1|1|1|1|1|1|1|1|0|5|-1|-1|2|4|3|-1|-1|-1|0|1|-1|-1|1|3|1|0|-1|-1|1
DFIMB000743|116|CIPL930415HNEHXX06|LI|CHIKARA|PO|2|0|GUXJ060219XOCZXLE3|JULIA|GUZMAN|XX|19/02/2006|142|20|3|2|-1|1|2|232|2|1|01/10/2024|4|56.555|160|65|110|95|85|85|36.8|91|0|-1|0|1|0|-1|1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|10|-1|-1|-1|-1|0|0|0|0|-1|0|-1|0|-1|-1|1
DFIMB001636|142|VAXL040204MDFGXXA7|LIA|VAGO|XX|9|1|PXNE940204MDFRBS04|ESPERANZA|PERA|NABOR|04/02/1994|142|09|2|3|0|0|0|-1|5|14|06/10/2024|1|69.555|167|0|0|0|0|96|36.2|0|109|1|4|1|0|-1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|0|0|0|0|0|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|1|-1|-1|-1|-1|-1|1|-1|0|0|-1|0|-1|0|0|88|0.999|8|1
DFIMB002032|142|VAXL800514MDFGXX07|LIA|VAGO|XX|4|1|PXNE240214MMSRBSC5|ESPERANZA|PERA|NABOR|14/02/2024|142|17|2|2|-1|-1|-1|-1|2|99|11/10/2024|69|12|58|0|0|0|99|96|36.2|90|0|-1|0|1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1|-1|0|-1|0|1|0|-1|-1|1
DFIMB000171|142|AANA750916HDFLBD06|ADAM|ALAN|NUBE|30|1|LOHO140122HGTPRMB6|OMAR|LOPI|HUERTA|22/01/2014|142|11|1|1|3|0|2|255|4|14&11|16/09/2024|88|28.566|128|0|90|70|0|0|36.2|0|95|1|1|1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|0|-1|-1|-1|0|-1|0|-1|-1|1
DFIMB000171|53|XXXX999999XXXXXX99|JOEL|MUÑOZ|XX|18|0|UIPE050705HDFRTMD7|EMILIO|ÜRIOSTEGUI|PATIÑO|05/07/2005|142|09|1|3|-1|-1|3|142|5|10|01/10/2024|22|71|170|68|120|95|98|94|37.5|91|152|1|5|1|1|0|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1|1|1|1|1|1|0|-1|0|0|9|5|9|4|3|4|-1|-1|-1|0|1|-1|0|-1|0|0|55|0.675|5|1
QRSMP002580|142|AEPA650718MDFLXN08|ANA MARIA|ALEGRIA|PO|25|0|MITF641015HPLRRL08|FELICIANO|MIRANDA|TORRES|15/10/1964|142|21|1|1|1|1|0|-1|88|2&3&10|14/10/2024|60|75|170|82|120|90|95|85|36.8|90|158|0|5|1|0|-1|0|-1|-1|2|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1|0|0|0|0|-1|-1|-1|-1|-1|-1|-1|1|1|0|8|8|9|3|9|9|-1|-1|-1|0|0|-1|-1|0|6|0|0|-1|-1|0
CSIMB003605|142|EAUL850725XOCMZX04|LIA|EMBA|UZCA|27|1|GALL540401MNERMR09|MARIA LOURDES|GARCIA|LIMA|01/04/1954|41|88|2|2|0|1|0|-1|6|99|01/10/2024|88|72|159|79|110|89|100|95|37.5|88|120|0|1|1|1|0|-1|0|-1|3|0|-1|1|0|1|1|1|1|0|0|2|2|1|3|-1|0|-1|-1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|7|8|10|3|4|4|-1|-1|-1|0|1|-1|1|-1|0|1|0|-1|-1|1
CSIMB003605|142|PENE720915HDFXTN00|ENRIQUE|DE LA PEÑA|NIETO|19|1|PIAM141021HDFXVRD0|MARCOS|PIÑA|AVILA|21/10/2014|142|09|1|3|3|3|1|142|2|1|20/10/2024|2|42|140|0|90|60|85|91|36.9|98|98|1|1|1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1|1|1|1|1|1|1|1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|0|0|-1|-1|-1|0|1|0|-1|-1|1
